Produit,Unité,Prix HT (EUR),TVA,Prix TTC (EUR)
OLIVES VERTES DENOYAUTEES 4KG,pce,7.45,5.50,7.86
ORANGINA,pce,12.48,5.50,13.17
PAIEMENT DU CHAUFFEUR,pce,150,0.00,150
PALLETE D'EAU CHRISTALINE 1.5L 84 PACKS ,h,345,0.00,345
PEPSI,pce,9.36,5.50,9.87
PEPSI MAX,pce,9.24,5.50,9.75
PESE DOUANE,pce,65,0.00,65
Positionnement à l'entrepôt ,pce,250,0.00,250
PRESTATION TRANSITAIRE,pce,350,0.00,350
PULPE DE TOMATE 6X 800GR,pce,7.65,5.50,8.07
QUAI DE CHARGEMENT ,pce,250,0.00,250
RIZ BASMATI 5KG,pce,11.03,5.50,11.64
SAC POUBELLE 130L,pce,5.12,20.00,6.14
SAUCE PIZZA 4L,pce,4.9,5.50,5.17
SAVON,pce,10,5.50,10.55
SCHWEPPES AGRUMES,pce,11.76,5.50,12.41
SCHWEPPES TONIC,pce,11.9,0.00,11.9
SPRITE,pce,11.84,5.50,12.49
SUCRE 1KG PACK DE 6,pce,8.69,5.50,9.17
Supplément pour mise au sol du conteneur pendant 2h = €,pce,0,0.00,0
Supplément pour un chargement sur un week-end =,pce,0,0.00,0
TOMATE CONCENTRÉ,pce,6.9,5.50,7.28
TOMATE CONCENTREE 4KG,pce,12.17,5.50,12.84
TOMATE ENTIERE PELÉE 6X 800GR,pce,7.81,5.50,8.24
TOMATE PELEE 4KG,pce,4.9,5.50,5.17
TRANSPORT ET DOUANE DIVERS COLIS ,h,0,0.00,0
TROPICO,pce,11.8,5.50,12.45
